TF	frozen_archetype	motif_family	regulator_group	SCbeta_baseline_expression	SCbeta_dynamic_range	n_TF_specific_targets	n_regulator_group_shared_targets	n_archetype_compatible_unresolved_targets	n_Tier1_CRE_gene_edges	n_Tier2_CRE_gene_edges	archetype_top_model_support_condition	n_conditions_with_model_support
AR	NR/20	NR	NR/20_group1	2.686	2.752	18	20	7547	2	0	dex	1
ARID3B	HD/2	HD	HD/2_group10	5.607	1.17	4	2	1714	0	0	3-cyt	0
ARNT	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group16	6.661	0.714	13	31	15445	0	0	Ex-4_HG	5
ARX	HD/2	HD	HD/2_group6	1.971	7.813	4	6	1714	0	0	3-cyt	4
ATF1	CREB/ATF/1	CREB/ATF	CREB/ATF/1_group1	5.614	1.757	29	6	4442	0	0	3-cyt	5
ATF2	CREB/ATF/1	CREB/ATF	CREB/ATF/1_group3	7.5	1.069	40	6	4442	0	0	3-cyt	5
ATF3	AP1/1	AP1	AP1/1_group4	2.141	4.379	37	6	5170	0	0	palmitate	5
ATF3	CREB/ATF/1	CREB/ATF	CREB/ATF/1_group6	2.141	4.379	36	3	4442	0	0	IFNg	5
ATF7	CREB/ATF/2	CREB/ATF	CREB/ATF/2_group3	2.882	1.819	22	10	2670	0	0	palmitate	5
BACH1	AP1/2	AP1	AP1/2_group1	6.652	1.531	116	11	12177	1	0	palmitate	5
BACH2	AP1/2	AP1	AP1/2_group3	6.68	2.549	38	19	12177	0	0	Ex-4_HG	5
BHLHE40	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group4	2.909	3.039	12	44	15445	0	0	Ex-4_HG	5
BHLHE41	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group5	1.104	1.875	34	38	15445	0	0	Ex-4_HG	5
BMAL1	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group17	4.824	1.355	2	27	15445	0	0	3-cyt	0
CEBPB	CCAAT/CEBP	CCAAT/CEBP	CCAAT/CEBP_group3	2.215	3.503	34	0	3283	0	0	dex	1
CEBPD	CCAAT/CEBP	CCAAT/CEBP	CCAAT/CEBP_group1	1.38	3.596	18	20	3283	1	0	dex	1
CEBPG	CCAAT/CEBP	CCAAT/CEBP	CCAAT/CEBP_group4	3.456	2.102	30	8	3283	0	0	palmitate	1
CLOCK	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group1	7.449	0.852	16	23	15445	0	0	palmitate	5
CPEB1	CPEB1	CPEB1	CPEB1_group1	6.625	1.537	21	0	2460	0	0	3-cyt	0
CREB1	CREB/ATF/1	CREB/ATF	CREB/ATF/1_group4	6.986	0.716	20	14	4442	0	0	3-cyt	5
CREB3	CREB/ATF/2	CREB/ATF	CREB/ATF/2_group1	2.115	2.155	20	7	2670	0	0	Ex-4_HG	5
CREB3L1	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group14	1.383	3.293	8	14	15445	0	0	Ex-4_HG	1
CREB3L2	Ebox/CACGTG/1	Ebox/CACGTG	Ebox/CACGTG/1_group6	7.552	1.275	48	28	15445	2	0	palmitate	5
CREB5	CREB/ATF/2	CREB/ATF	CREB/ATF/2_group8	4.926	4.216	21	0	2670	1	0	Ex-4_HG	5
CREM	CREB/ATF/1	CREB/ATF	CREB/ATF/1_group2	5.233	1.766	3	9	4442	0	0	Ex-4_HG	5
CTCF	CTCF	CTCF	CTCF_group1	6.38	2.281	277	0	15719	2	0	palmitate	5
CUX2	CUX/4	CUX	CUX/4_group1	1.26	3.966	23	0	2282	0	0	3-cyt	0
DBP	CCAAT/CEBP	CCAAT/CEBP	CCAAT/CEBP_group6	1.28	2.145	2	11	3283	0	0	3-cyt	0
EGR1	KLF/SP/2	KLF/SP	KLF/SP/2_group7	3.324	4.582	14	41	13913	1	0	Ex-4_HG	5
ELF1	ETS/1	ETS	ETS/1_group7	7.88	1.875	53	37	17207	50	0	IFNg	5
ELF2	ETS/1	ETS	ETS/1_group5	7.669	0.813	45	21	17207	18	0	Ex-4_HG	5
ELF2	ETS/2	ETS	ETS/2_group7	7.669	0.813	58	29	10465	0	0	IFNg	5
ELF3	ETS/1	ETS	ETS/1_group13	3.676	2.872	23	39	17207	5	0	Ex-4_HG	5
ELF3	ETS/2	ETS	ETS/2_group4	3.676	2.872	16	21	10465	0	0	3-cyt	0
ELF4	ETS/1	ETS	ETS/1_group11	3.604	2.292	18	98	17207	0	0	3-cyt	5
ELK1	ETS/1	ETS	ETS/1_group9	2.281	1.8	6	42	17207	0	0	3-cyt	5
ELK3	ETS/1	ETS	ETS/1_group4	3.03	3.738	39	13	17207	10	0	3-cyt	5
ELK4	ETS/1	ETS	ETS/1_group1	4.683	1.327	72	72	17207	0	0	3-cyt	5
ELK4	ETS/2	ETS	ETS/2_group8	4.683	1.327	71	23	10465	0	0	3-cyt	5
ERF	ETS/1	ETS	ETS/1_group11	2.047	3.252	26	98	17207	0	0	palmitate	5
ETS1	ETS/1	ETS	ETS/1_group8	2.94	3.177	76	72	17207	15	0	palmitate	5
