frozen_archetype	n_static_motif_positive_CREs	n_structural_GRN_CREs	n_structural_target_genes	static_CRE_fraction_of_universe	CRE_universe_size
AP1/1	42435	5110	5392	0.14931543964222002	284197
AP1/2	77883	13880	12502	0.2740458203288564	284197
BCL6/1	26728	3799	4396	0.09404743892440807	284197
CCAAT/CEBP	23733	2998	3479	0.08350897440859685	284197
CPEB1	18693	2139	2481	0.06577479705978599	284197
CREB/ATF/1	10358	3143	4640	0.036446549400591846	284197
CREB/ATF/2	9184	1985	2887	0.03231561205783312	284197
CTCF	69548	20049	15996	0.24471757266966224	284197
CUX/4	19773	2036	2305	0.06957497792024546	284197
E2F/3	32546	6638	7815	0.1145191539671425	284197
ETS/1	130798	27199	18842	0.4602370890614609	284197
ETS/2	58588	10565	11128	0.20615277430796244	284197
Ebox/CACGTG/1	120387	21724	16355	0.423604049303828	284197
Ebox/CAGATGG	53556	7333	7342	0.18844674644700682	284197
Ebox/CATATG	62703	6971	6698	0.2206321671235094	284197
FOX/4	54811	6134	6019	0.1928626973543	284197
FOX/5	139744	16925	12469	0.49171525385560017	284197
FOX/6	33601	3441	3540	0.11823136767805431	284197
GATA	22551	2620	3006	0.07934988757798288	284197
GC-tract	45473	15220	13714	0.16000520765525322	284197
GFI	37850	4759	5270	0.1331822644151768	284197
GMEB2/2	1979	430	651	0.006963479558193788	284197
HAND1	81215	11496	10419	0.28577008202057025	284197
HD/10	27480	3143	3298	0.09669349078280207	284197
HD/11	22823	2377	2575	0.08030697016506155	284197
HD/2	15005	1573	1810	0.05279788315851328	284197
HIC/1	79882	12806	11351	0.28107967360668834	284197
IRF/1	29298	4150	4782	0.10309046189790884	284197
IRF/3	15654	3011	3914	0.05508151036077087	284197
KAISO	17805	9001	10606	0.06265020390785266	284197
KLF/SP/1	151823	32491	19443	0.5342174618310538	284197
KLF/SP/2	53263	17555	14925	0.1874157714543081	284197
MAF	59052	7535	7456	0.20778544460356724	284197
MBD2	38885	17390	15567	0.13682410440645046	284197
NFAC/2	47727	6192	6342	0.1679363258584714	284197
NFAT/3	26321	2729	2911	0.09261533372977196	284197
NFAT/4	28737	4954	5955	0.10111647906205906	284197
NFY	17529	2856	3813	0.06167904657684634	284197
NR/1	53936	8087	8113	0.18978384712013147	284197
NR/13	76714	10671	9998	0.2699324764160072	284197
NR/18	23784	4117	4921	0.0836884273936741	284197
NR/20	51315	7515	7750	0.18056137116155344	284197
NR/4	10487	1276	1552	0.036900459892257834	284197
NRF1	37558	15233	14975	0.13215480810845998	284197
OCT4+SOX2	34721	3754	3999	0.12217229597779006	284197
OSR2	69491	13488	12541	0.24451700756869355	284197
PAX/1	18617	3987	5131	0.06550737692516106	284197
POU/1	29823	3260	3509	0.10493777203840998	284197
POU/2	33010	3428	3511	0.11615182426274732	284197
PRDM1	64619	9518	9369	0.22737396946484306	284197
PRDM14	22311	3392	4079	0.07850540294232522	284197
REST/NRSF	46380	9312	9542	0.1631966558408428	284197
RFX/1	53106	16363	14779	0.1868633377551487	284197
RFX/2	48143	8728	9364	0.16940009922694468	284197
RFX/3	77306	16087	14141	0.2720155385172961	284197
SCRT1	43726	6058	6414	0.15385806324486184	284197
SMAD	114296	17126	13447	0.40217173298803294	284197
SNAI2	95866	14551	12039	0.3373223503414885	284197
SOX/8	36967	4345	4686	0.13007526469315298	284197
TFAP2/2	41513	11339	11192	0.14607121116690183	284197
YY1	32140	6426	8062	0.1130905674584883	284197
ZBTB14	19778	11420	12295	0.069592571350155	284197
ZIC/2	59034	13198	11948	0.2077221082558929	284197
ZNF136	27580	3220	3682	0.09704535938099276	284197
ZNF143	51930	8395	8434	0.1827253630404262	284197
ZNF28	46797	5631	5689	0.16466394789529798	284197
ZNF317	32384	3904	4350	0.1139491268380736	284197
ZNF331	53611	9662	9586	0.1886402741760117	284197
ZNF335	58382	8476	8123	0.2054279249956896	284197
ZNF436	59236	11983	11531	0.2084328828242381	284197
ZNF563	68753	15570	13721	0.24192021731404625	284197
ZNF708	64044	10249	9988	0.22535072502524658	284197
