frozen_archetype	n_structural_edges
AP1/1	6562
AP1/2	19581
BCL6/1	5033
CCAAT/CEBP	3879
CPEB1	2727
CREB/ATF/1	5175
CREB/ATF/2	3119
CTCF	29707
CUX/4	2535
E2F/3	9593
ETS/1	39636
ETS/2	15299
Ebox/CACGTG/1	30747
Ebox/CAGATGG	9618
Ebox/CATATG	8739
FOX/4	7666
FOX/5	21746
FOX/6	4202
GATA	3354
GC-tract	22947
GFI	6223
GMEB2/2	657
HAND1	15363
HD/10	3852
HD/11	2934
HD/2	1984
HIC/1	17394
IRF/1	5547
IRF/3	4346
KAISO	14203
KLF/SP/1	47158
KLF/SP/2	26451
MAF	9817
MBD2	27029
NFAC/2	8008
NFAT/3	3339
NFAT/4	6959
NFY	4207
NR/1	10830
NR/13	14264
NR/18	5633
NR/20	10101
NR/4	1633
NRF1	23883
OCT4+SOX2	4702
OSR2	19167
PAX/1	5829
POU/1	4042
POU/2	4167
PRDM1	12800
PRDM14	4605
REST/NRSF	13210
RFX/1	24638
RFX/2	12422
RFX/3	23151
SCRT1	7973
SMAD	23083
SNAI2	19594
SOX/8	5528
TFAP2/2	16728
YY1	9767
ZBTB14	17947
ZIC/2	18999
ZNF136	4144
ZNF143	11490
ZNF28	7051
ZNF317	5028
ZNF331	13523
ZNF335	11094
ZNF436	17194
ZNF563	22589
ZNF708	14052
