TF	condition	database	n_query_genes	n_positive_rho_genes	n_negative_rho_genes	n_background_genes	n_pathways_tested	query_status	n_pathways_with_overlap	n_pathways_FDR_lt_0.05	minimum_P	minimum_BH_FDR
AR	3-cyt	GO_BP	160	98	61	20749	5392	testable	893	0	0.0002379236500128509	1.0
AR	3-cyt	Hallmark	160	98	61	20749	50	testable	31	0	0.03527647052511886	1.0
AR	3-cyt	Reactome	160	98	61	20749	1816	testable	446	0	0.0037071690052666965	1.0
AR	Ex-4_HG	GO_BP	100	43	53	20749	5392	testable	692	0	0.0008098157661999453	1.0
AR	Ex-4_HG	Hallmark	100	43	53	20749	50	testable	22	0	0.004042034490168643	0.14245339201537818
AR	Ex-4_HG	Reactome	100	43	53	20749	1816	testable	250	0	0.0010090900468958676	0.8423970775092906
AR	IFNg	GO_BP	130	88	40	20749	5392	testable	720	0	0.001064120682956626	1.0
AR	IFNg	Hallmark	130	88	40	20749	50	testable	30	0	0.002793675766570709	0.12064135243505952
AR	IFNg	Reactome	130	88	40	20749	1816	testable	310	0	0.001696198536122892	1.0
AR	dex	GO_BP	131	73	57	20749	5392	testable	562	0	0.0003971118418950619	1.0
AR	dex	Hallmark	131	73	57	20749	50	testable	24	0	0.021136470406917903	1.0
AR	dex	Reactome	131	73	57	20749	1816	testable	394	0	0.0002353885996369457	0.4274656969406934
AR	palmitate	GO_BP	175	114	56	20749	5392	testable	897	0	0.00041968626607043495	1.0
AR	palmitate	Hallmark	175	114	56	20749	50	testable	28	0	0.002255712215152847	0.11278561075764235
AR	palmitate	Reactome	175	114	56	20749	1816	testable	410	0	0.0006955938485211968	1.0
ARID3A	3-cyt	GO_BP	93	59	33	20749	5392	testable	381	0	5.663707173424643e-05	0.30538709079105675
ARID3A	3-cyt	Hallmark	93	59	33	20749	50	testable	16	0	0.17066980733765424	1.0
ARID3A	3-cyt	Reactome	93	59	33	20749	1816	testable	281	0	0.008944412883111189	1.0
ARID3A	Ex-4_HG	GO_BP	132	69	59	20749	5392	testable	758	0	0.0011941999519231486	1.0
ARID3A	Ex-4_HG	Hallmark	132	69	59	20749	50	testable	23	0	0.07995644539235605	1.0
ARID3A	Ex-4_HG	Reactome	132	69	59	20749	1816	testable	385	0	0.000247906939153128	0.44608734408223494
ARID3A	IFNg	GO_BP	13	11	0	20749	5392	testable	89	0	2.2609123831448594e-05	0.12190839569917082
ARID3A	IFNg	Hallmark	13	11	0	20749	50	testable	8	0	0.0019078158307236864	0.09539079153618432
ARID3A	IFNg	Reactome	13	11	0	20749	1816	testable	49	0	0.0062490786112404835	1.0
ARID3A	dex	GO_BP	139	103	35	20749	5392	testable	774	0	0.0006566793068399584	1.0
ARID3A	dex	Hallmark	139	103	35	20749	50	testable	29	0	0.007856745273086435	0.24369764779471909
ARID3A	dex	Reactome	139	103	35	20749	1816	testable	452	1	1.2845862198500024e-05	0.023328085752476045
ARID3A	palmitate	GO_BP	113	89	19	20749	5392	testable	843	0	3.409344580120357e-05	0.18383185976008964
ARID3A	palmitate	Hallmark	113	89	19	20749	50	testable	25	0	0.003291589701792662	0.1645794850896331
ARID3A	palmitate	Reactome	113	89	19	20749	1816	testable	390	5	5.140489187026938e-06	0.00933512836364092
ARID3B	3-cyt	GO_BP	116	54	61	20749	5392	testable	635	0	0.0001618203614468383	0.8725353889213521
ARID3B	3-cyt	Hallmark	116	54	61	20749	50	testable	30	0	0.09902730892498464	1.0
ARID3B	3-cyt	Reactome	116	54	61	20749	1816	testable	351	0	0.0010626427961940986	1.0
ARID3B	Ex-4_HG	GO_BP	136	85	47	20749	5392	testable	542	0	0.0004209979542428555	1.0
ARID3B	Ex-4_HG	Hallmark	136	85	47	20749	50	testable	24	0	0.05815664447804283	1.0
ARID3B	Ex-4_HG	Reactome	136	85	47	20749	1816	testable	269	0	0.0060914447509721895	1.0
ARID3B	IFNg	GO_BP	10	4	4	20749	5392	testable	67	0	0.0001534460548858801	0.8256520202072596
ARID3B	IFNg	Hallmark	10	4	4	20749	50	testable	8	0	0.02478601056214325	0.46004128670124816
ARID3B	IFNg	Reactome	10	4	4	20749	1816	testable	15	0	0.004810111381630942	1.0
ARID3B	dex	GO_BP	160	121	38	20749	5392	testable	840	0	0.0012098279498310193	1.0
ARID3B	dex	Hallmark	160	121	38	20749	50	testable	24	0	0.00870582715759666	0.43529135787983303
ARID3B	dex	Reactome	160	121	38	20749	1816	testable	361	0	0.0028847144391841153	1.0
ARID3B	palmitate	GO_BP	141	86	50	20749	5392	testable	757	0	0.00016122586611562857	0.7179785335673367
ARID3B	palmitate	Hallmark	141	86	50	20749	50	testable	28	0	0.048751259267712885	1.0
ARID3B	palmitate	Reactome	141	86	50	20749	1816	testable	383	0	0.0008885267274444976	1.0
ARNT	3-cyt	GO_BP	91	40	50	20749	5392	testable	366	0	0.000523614628864353	1.0
ARNT	3-cyt	Hallmark	91	40	50	20749	50	testable	23	0	0.030309141304937726	1.0
ARNT	3-cyt	Reactome	91	40	50	20749	1816	testable	239	0	0.00011349443043914759	0.20610588567749202
ARNT	Ex-4_HG	GO_BP	147	69	74	20749	5392	testable	815	0	0.0013573821635782294	1.0
ARNT	Ex-4_HG	Hallmark	147	69	74	20749	50	testable	29	0	0.02396335294289233	0.6536212777448857
ARNT	Ex-4_HG	Reactome	147	69	74	20749	1816	testable	406	0	0.004290157583768401	1.0
ARNT	IFNg	GO_BP	147	64	81	20749	5392	testable	601	0	0.0012293726656871973	1.0
ARNT	IFNg	Hallmark	147	64	81	20749	50	testable	20	0	0.005395988871285547	0.2697994435642774
ARNT	IFNg	Reactome	147	64	81	20749	1816	testable	382	0	0.0021921240039246438	1.0
ARNT	dex	GO_BP	201	102	98	20749	5392	testable	641	0	0.005781406239153842	1.0
ARNT	dex	Hallmark	201	102	98	20749	50	testable	35	0	0.0137228555065971	0.686142775329855
ARNT	dex	Reactome	201	102	98	20749	1816	testable	655	0	0.0005509449666952703	1.0
ARNT	palmitate	GO_BP	85	21	59	20749	5392	testable	679	0	7.628121645939365e-05	0.21722430298450565
ARNT	palmitate	Hallmark	85	21	59	20749	50	testable	27	0	0.017361392172845904	0.6640645186254108
ARNT	palmitate	Reactome	85	21	59	20749	1816	testable	307	0	0.00016114562535942556	0.2926404556527168
ARX	3-cyt	GO_BP	56	34	21	20749	5392	testable	455	0	7.117295573947877e-05	0.38376457734726954
ARX	3-cyt	Hallmark	56	34	21	20749	50	testable	18	0	0.046187861458569075	1.0
ARX	3-cyt	Reactome	56	34	21	20749	1816	testable	264	0	0.0014537493692850882	1.0
ARX	Ex-4_HG	GO_BP	143	93	46	20749	5392	testable	716	0	0.00014086401560293784	0.7595387721310408
ARX	Ex-4_HG	Hallmark	143	93	46	20749	50	testable	31	0	0.0139357184704217	0.6018548525371451
ARX	Ex-4_HG	Reactome	143	93	46	20749	1816	testable	331	0	0.0016450174148944497	1.0
ARX	IFNg	GO_BP	198	117	79	20749	5392	testable	941	0	0.0007558179403608704	1.0
ARX	IFNg	Hallmark	198	117	79	20749	50	testable	36	2	0.001486670541958237	0.04401709364632899
ARX	IFNg	Reactome	198	117	79	20749	1816	testable	476	0	0.0076455882469933225	1.0
ARX	dex	GO_BP	208	147	60	20749	5392	testable	839	0	0.00029805553132769775	0.7982428565448355
ARX	dex	Hallmark	208	147	60	20749	50	testable	30	0	0.12255929644781736	1.0
