GWAS	set_id	analysis_class	TF	condition	membership_rule	n_genes_HGNC	n_genes_mapped_to_entrez	size_status	included_in_MAGMA	exact_membership_group_within_class_condition	n_TFs_with_exact_membership	NGENES_MAGMA	post_MAGMA_size_status	BETA	BETA_STD	SE	P	Q_BH_within_condition_class	Q_BH_across_analysis_class	Q_BH_across_primary_signed
T1D	SCTF0001	positive	AR	3-cyt	empirical_p_condition<0.01; split by rho sign	98	63	primary	True	positive|3-cyt|D014	1	63	primary	-0.077404	-0.004412	0.13471	0.71722	0.9236142446043164	0.9465113312693498	0.9795244015444017
T1D	SCTF0002	positive	ARID3A	3-cyt	empirical_p_condition<0.01; split by rho sign	59	46	primary	True	positive|3-cyt|D015	1	46	primary	0.14596	0.0071121	0.1569	0.17612	0.7457935555555556	0.8204587878787879	0.9441832587859424
T1D	SCTF0003	positive	ARID3B	3-cyt	empirical_p_condition<0.01; split by rho sign	54	43	primary	True	positive|3-cyt|D016	1	43	primary	0.10673	0.0050286	0.15975	0.25204	0.7880881818181819	0.8480538947368421	0.9537913734939759
T1D	SCTF0004	positive	ARNT	3-cyt	empirical_p_condition<0.01; split by rho sign	40	30	primary	True	positive|3-cyt|D017	1	30	primary	0.36875	0.014516	0.18328	0.022119	0.4254680833333333	0.4977071020408163	0.6090138208955224
T1D	SCTF0005	positive	ARX	3-cyt	empirical_p_condition<0.01; split by rho sign	34	32	primary	True	positive|3-cyt|D018	1	31	primary	0.31277	0.012516	0.18945	0.049389	0.5525394375	0.6280511641791044	0.7534067454545454
T1D	SCTF0006	positive	ATF1	3-cyt	empirical_p_condition<0.01; split by rho sign	40	30	primary	True	positive|3-cyt|D019	1	30	primary	0.06947	0.0027348	0.18785	0.35576	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0007	positive	ATF2	3-cyt	empirical_p_condition<0.01; split by rho sign	56	33	primary	True	positive|3-cyt|D001	2	33	primary	-0.28465	-0.011752	0.19037	0.93256	0.9636132571428571	0.9915755259975816	0.9841812553321145
T1D	SCTF0008	positive	ATF3	3-cyt	empirical_p_condition<0.01; split by rho sign	74	46	primary	True	positive|3-cyt|D020	1	46	primary	-0.1441	-0.0070216	0.15356	0.82597	0.9636132571428571	0.9754463736263737	0.9841812553321145
T1D	SCTF0009	positive	ATF7	3-cyt	empirical_p_condition<0.01; split by rho sign	97	65	primary	True	positive|3-cyt|D021	1	65	primary	0.010346	0.00059899	0.12263	0.46638	0.8396352999999999	0.9003951351351351	0.9537913734939759
T1D	SCTF0010	positive	BACH1	3-cyt	empirical_p_condition<0.01; split by rho sign	120	89	primary	True	positive|3-cyt|D022	1	89	primary	0.060619	0.004104	0.11284	0.29556	0.7896304477611941	0.8565208163265305	0.9537913734939759
T1D	SCTF0011	positive	BACH2	3-cyt	empirical_p_condition<0.01; split by rho sign	30	23	exploratory	True	positive|3-cyt|D023	1	23	exploratory	0.092839	0.0032007	0.20203	0.32293	0.7946854166666667	0.8840468181818182	0.9537913734939759
T1D	SCTF0012	positive	BHLHE40	3-cyt	empirical_p_condition<0.01; split by rho sign	89	39	primary	True	positive|3-cyt|D024	1	39	primary	-0.14762	-0.0066245	0.15757	0.82558	0.9636132571428571	0.9754463736263737	0.9841812553321145
T1D	SCTF0013	positive	BHLHE41	3-cyt	empirical_p_condition<0.01; split by rho sign	138	101	primary	True	positive|3-cyt|D025	1	101	primary	0.12576	0.009067	0.10339	0.11193	0.690878275862069	0.733572	0.8460294594594595
T1D	SCTF0014	positive	BMAL1	3-cyt	empirical_p_condition<0.01; split by rho sign	27	20	exploratory	True	positive|3-cyt|D002	2	20	exploratory	0.27757	0.0089241	0.27154	0.15335	0.71174875	0.8115167701863353	0.9126487372013651
T1D	SCTF0015	positive	CEBPB	3-cyt	empirical_p_condition<0.01; split by rho sign	26	16	exploratory	True	positive|3-cyt|D026	1	16	exploratory	-0.077928	-0.0022412	0.27361	0.6121	0.8627236220472441	0.9215174237288136	0.9663163603603603
