GWAS	set_id	analysis_class	frozen_archetype	candidate_TF	condition	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR_within_analysis_class	status	median_condition_specific_pgBoost_retained_links	max_condition_specific_pgBoost_retained_links
T1D	CS0876	condition_supported_archetype	AP1/1		3-cyt	1058	522	521.0	0.016402	0.046822	0.36306	0.7874825806451613	primary	0.6272708773612975	0.899986922740936
T1D	CS0877	condition_supported_archetype	AP1/1		Ex-4_HG	1018	517	517.0	-0.0054196	0.047398	0.54552	0.8937278048780487	primary	0.6287395656108855	0.894974172115326
T1D	CS0878	condition_supported_archetype	AP1/1		IFNg	949	481	481.0	0.0086674	0.04899	0.42979	0.8185478651685393	primary	0.637931227684021	0.869547188282013
T1D	CS0879	condition_supported_archetype	AP1/1		dex	649	333	333.0	0.072342	0.057747	0.10516	0.4773621621621621	primary	0.6247523427009585	0.889280796051025
T1D	CS0880	condition_supported_archetype	AP1/1		palmitate	1723	903	902.0	0.022652	0.036191	0.26569	0.6623895522388059	primary	0.6534631848335265	0.8901407122612
T1D	CS0881	condition_supported_archetype	AP1/2		3-cyt	667	326	326.0	0.079778	0.060346	0.093091	0.45450311764705875	primary	0.62689083814621	0.873550474643707
T1D	CS0882	condition_supported_archetype	AP1/2		Ex-4_HG	688	332	332.0	0.085323	0.059564	0.076015	0.42623530158730155	primary	0.6159339845180509	0.871971487998962
T1D	CS0883	condition_supported_archetype	AP1/2		IFNg	486	226	226.0	0.10581	0.073675	0.075491	0.42623530158730155	primary	0.612890124320984	0.867106735706329
T1D	CS0884	condition_supported_archetype	AP1/2		dex	534	290	290.0	0.07027	0.064156	0.1367	0.5100085106382979	primary	0.6427440941333771	0.883671402931213
T1D	CS0885	condition_supported_archetype	AP1/2		palmitate	893	451	451.0	0.015144	0.052058	0.38556	0.7982461349693251	primary	0.6422099471092224	0.869922697544098
T1D	CS0886	condition_supported_archetype	BCL6/1		3-cyt	240	168	168.0	0.082874	0.087956	0.17305	0.546242831858407	primary	0.79413378238678	0.898792088031769
T1D	CS0887	condition_supported_archetype	BCL6/1		Ex-4_HG	238	166	166.0	0.12487	0.088605	0.079384	0.42623530158730155	primary	0.796562314033508	0.903430640697479
T1D	CS0888	condition_supported_archetype	BCL6/1		IFNg	233	160	160.0	0.072672	0.089721	0.20898	0.5981151724137931	primary	0.7855813503265385	0.894868969917297
T1D	CS0889	condition_supported_archetype	BCL6/1		dex	241	166	166.0	0.088127	0.088221	0.15892	0.5328932000000001	primary	0.7944499552249911	0.898216307163239
T1D	CS0890	condition_supported_archetype	BCL6/1		palmitate	241	168	168.0	0.099557	0.087817	0.12847	0.5100085106382979	primary	0.795160889625549	0.894665658473969
T1D	CS0891	condition_supported_archetype	CCAAT/CEBP		3-cyt	28	11	11.0	-0.10527	0.35107	0.61785	0.9057838016528926	exploratory	0.5749916136264805	0.87409520149231
T1D	CS0892	condition_supported_archetype	CCAAT/CEBP		Ex-4_HG	53	24	24.0	-0.15124	0.21887	0.7552	0.9251896678966789	exploratory	0.657440483570099	0.852572202682495
T1D	CS0893	condition_supported_archetype	CCAAT/CEBP		IFNg	8	5	5.0	1.2617	0.43672	0.0019341	0.11853506666666667	insufficient	0.597302347421646	0.79381650686264
T1D	CS0894	condition_supported_archetype	CCAAT/CEBP		dex	62	29	29.0	-0.23724	0.19958	0.88271	0.9834218791946308	exploratory	0.672962129116058	0.867794394493103
T1D	CS0895	condition_supported_archetype	CCAAT/CEBP		palmitate	23	8	8.0	-0.14007	0.3554	0.65325	0.9057838016528926	insufficient	0.640850067138672	0.862265527248383
T1D	CS0896	condition_supported_archetype	CPEB1		3-cyt	0	0						insufficient		
T1D	CS0897	condition_supported_archetype	CPEB1		Ex-4_HG	0	0						insufficient		
T1D	CS0898	condition_supported_archetype	CPEB1		IFNg	4	1						insufficient	0.6389243006706236	0.76718145608902
T1D	CS0899	condition_supported_archetype	CPEB1		dex	0	0						insufficient		
T1D	CS0900	condition_supported_archetype	CPEB1		palmitate	0	0						insufficient		
T1D	CS0901	condition_supported_archetype	CREB/ATF/1		3-cyt	3150	2041	2038.0	0.057193	0.02554	0.012572	0.19904190476190475	primary	0.755390346050262	0.912147164344788
T1D	CS0902	condition_supported_archetype	CREB/ATF/1		Ex-4_HG	3256	2105	2102.0	0.066526	0.025096	0.0040175	0.14820111111111112	primary	0.751958072185516	0.908117175102234
T1D	CS0903	condition_supported_archetype	CREB/ATF/1		IFNg	3286	2126	2124.0	0.064707	0.025038	0.0048818	0.15353189090909092	primary	0.757670164108276	0.90043842792511
T1D	CS0904	condition_supported_archetype	CREB/ATF/1		dex	3054	1981	1978.0	0.073735	0.02581	0.0021422	0.11853506666666667	primary	0.754664063453674	0.903584361076355
T1D	CS0905	condition_supported_archetype	CREB/ATF/1		palmitate	3048	1973	1971.0	0.043161	0.025766	0.046967	0.37410223255813957	primary	0.755257844924927	0.906620621681213
T1D	CS0906	condition_supported_archetype	CREB/ATF/2		3-cyt	1692	1026	1025.0	0.083515	0.034777	0.0081707	0.18995712	primary	0.738838315010071	0.900819420814514
T1D	CS0907	condition_supported_archetype	CREB/ATF/2		Ex-4_HG	1662	1013	1012.0	0.096398	0.03501	0.002952	0.122508	primary	0.7404547333717345	0.899692356586456
T1D	CS0908	condition_supported_archetype	CREB/ATF/2		IFNg	1460	900	900.0	0.062119	0.037165	0.047329	0.37410223255813957	primary	0.739558756351471	0.90043842792511
T1D	CS0909	condition_supported_archetype	CREB/ATF/2		dex	1689	1017	1016.0	0.066415	0.035053	0.029073	0.344833875	primary	0.7385193705558775	0.903584361076355
T1D	CS0910	condition_supported_archetype	CREB/ATF/2		palmitate	1565	957	956.0	0.054551	0.035971	0.064698	0.4211712941176471	primary	0.73945888876915	0.90280282497406
T1D	CS0911	condition_supported_archetype	CTCF		3-cyt	9326	5908	5905.0	0.021196	0.017223	0.10922	0.48348053333333335	primary	0.6910018920898435	0.910241186618805
