GWAS	set_id	analysis_class	frozen_archetype	candidate_TF	condition	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR_within_analysis_class	status	median_condition_specific_pgBoost_retained_links	max_condition_specific_pgBoost_retained_links
T1D	CS1411	structural_archetype_baseline	AP1/1			5392	2858	2855.0	0.017504	0.021649	0.20939	0.41878	primary		
T1D	CS1412	structural_archetype_baseline	AP1/2			12502	7609	7602.0	0.032458	0.016278	0.023083	0.13849799999999998	primary		
T1D	CS1413	structural_archetype_baseline	BCL6/1			4396	2424	2423.0	0.035076	0.023616	0.068742	0.23215090909090907	primary		
T1D	CS1414	structural_archetype_baseline	CCAAT/CEBP			3479	1819	1815.0	0.0061643	0.026702	0.40872	0.5659200000000001	primary		
T1D	CS1415	structural_archetype_baseline	CPEB1			2481	1201	1199.0	0.0020174	0.0319	0.47479	0.6330533333333334	primary		
T1D	CS1416	structural_archetype_baseline	CREB/ATF/1			4640	2902	2897.0	0.069173	0.021878	0.00078534	0.01884816	primary		
T1D	CS1417	structural_archetype_baseline	CREB/ATF/2			2887	1657	1655.0	0.098253	0.027866	0.00021157	0.01523304	primary		
T1D	CS1418	structural_archetype_baseline	CTCF			15996	10252	10246.0	0.024938	0.016382	0.063974	0.2303064	primary		
T1D	CS1419	structural_archetype_baseline	CUX/4			2305	1090	1089.0	0.030494	0.033146	0.17879	0.3786141176470588	primary		
T1D	CS1420	structural_archetype_baseline	E2F/3			7815	4676	4672.0	-0.0032737	0.018346	0.57081	0.6523542857142858	primary		
T1D	CS1421	structural_archetype_baseline	ETS/1			18842	11884	11873.0	0.022462	0.017028	0.09357	0.2694816	primary		
T1D	CS1422	structural_archetype_baseline	ETS/2			11128	6777	6771.0	0.041474	0.016627	0.0063135	0.09091439999999999	primary		
T1D	CS1423	structural_archetype_baseline	Ebox/CACGTG/1			16355	10047	10037.0	0.021516	0.016233	0.092518	0.2694816	primary		
T1D	CS1424	structural_archetype_baseline	Ebox/CAGATGG			7342	4120	4117.0	0.0066108	0.019065	0.36439	0.5463036734693878	primary		
