GWAS	analysis_class	frozen_archetype	condition	set_id	n_genes_requested	n_genes_mapped_to_entrez	n_genes_tested	beta	SE	P	BH_FDR	status
T1D	gained_vs_control	AP1/1	3-cyt	DA0001	240	114	113.0	-0.10773	0.098235	0.8636	0.9913178169014085	primary
T1D	gained_vs_control	AP1/1	Ex-4_HG	DA0002	230	122	122.0	-0.10685	0.095773	0.86772	0.9913178169014085	primary
T1D	gained_vs_control	AP1/1	IFNg	DA0003	199	112	112.0	-0.023929	0.099574	0.59496	0.9440254634146342	primary
T1D	gained_vs_control	AP1/1	dex	DA0004	113	61	61.0	0.027808	0.12808	0.41406	0.8559150303030303	primary
T1D	gained_vs_control	AP1/1	palmitate	DA0005	702	377	376.0	0.019692	0.054999	0.36016	0.8559150303030303	primary
T1D	gained_vs_control	AP1/2	3-cyt	DA0006	238	121	121.0	0.051568	0.094465	0.29257	0.8336950442477875	primary
T1D	gained_vs_control	AP1/2	Ex-4_HG	DA0007	252	131	131.0	0.046804	0.090638	0.3028	0.8405310344827587	primary
T1D	gained_vs_control	AP1/2	IFNg	DA0008	149	70	70.0	0.046874	0.13132	0.36057	0.8559150303030303	primary
T1D	gained_vs_control	AP1/2	dex	DA0009	175	103	103.0	0.036352	0.1027	0.36169	0.8559150303030303	primary
T1D	gained_vs_control	AP1/2	palmitate	DA0010	400	202	202.0	-0.064018	0.075309	0.80235	0.9913178169014085	primary
T1D	gained_vs_control	BCL6/1	3-cyt	DA0011	16	13	13.0	0.22116	0.33849	0.25676	0.7949684615384616	exploratory
T1D	gained_vs_control	BCL6/1	Ex-4_HG	DA0012	16	13	13.0	0.67507	0.32697	0.019487	0.2797352	exploratory
T1D	gained_vs_control	BCL6/1	IFNg	DA0013	9	7	7.0	0.11836	0.41684	0.38823	0.8559150303030303	insufficient
T1D	gained_vs_control	BCL6/1	dex	DA0014	11	9	9.0	0.53844	0.38027	0.078405	0.44291947368421053	insufficient
T1D	gained_vs_control	BCL6/1	palmitate	DA0015	15	11	11.0	0.3301	0.36444	0.18254	0.6459107692307693	exploratory
T1D	gained_vs_control	CCAAT/CEBP	3-cyt	DA0016	21	8	8.0	-0.3582	0.41951	0.8034	0.9913178169014085	insufficient
T1D	gained_vs_control	CCAAT/CEBP	Ex-4_HG	DA0017	41	19	19.0	-0.28719	0.24446	0.87996	0.9925481118881119	exploratory
T1D	gained_vs_control	CCAAT/CEBP	IFNg	DA0018	3	3	3.0	1.5783	0.53346	0.0015477	0.09698639999999999	insufficient
T1D	gained_vs_control	CCAAT/CEBP	dex	DA0019	51	26	26.0	-0.31444	0.2099	0.93294	0.993261980830671	exploratory
T1D	gained_vs_control	CCAAT/CEBP	palmitate	DA0020	12	5	5.0	-0.48168	0.42756	0.87003	0.9913178169014085	insufficient
T1D	gained_vs_control	CPEB1	3-cyt	DA0021	0	0						insufficient
T1D	gained_vs_control	CPEB1	Ex-4_HG	DA0022	0	0						insufficient
T1D	gained_vs_control	CPEB1	IFNg	DA0023	3	0						insufficient
T1D	gained_vs_control	CPEB1	dex	DA0024	0	0						insufficient
