frozen_archetype	motif_family	candidate_TF	annotation_source	membership_evidence	motif_compatibility_level	SCbeta_baseline_expression_logCPM	SCbeta_dynamic_range	max_abs_logFC	DE_in_any_condition	n_dynamic_conditions	usable_for_candidate_TF_assignment
AP1/1	AP1	ATF3	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.141	4.379	2.425	True	12	True
AP1/1	AP1	BATF+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOS	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	2.68	5.034	3.296	True	19	True
AP1/1	AP1	FOS+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOS+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOS+JUND	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	0.834	1.894	1.134	True	1	False
AP1/1	AP1	FOSB+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL1	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL1+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL1+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL1+JUND	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL2+JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL2+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	FOSL2+JUND	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	JDP2	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	1.251	1.969	1.064	True	3	True
AP1/1	AP1	JUN	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	5.346	3.176	2.029	True	8	True
AP1/1	AP1	JUN+JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member				False	0	False
AP1/1	AP1	JUNB	Vierstra_cluster_member (lib_archetype_map, Cluster_ID=54)	exact Vierstra archetype cluster member gene	archetype_cluster_member	3.842	6.729	3.888	True	17	True
